"id","country_id:id","state_id:id"
l10n_pe.district_pe_040502,base.pe,base.state_pe_04
l10n_pe.district_pe_040503,base.pe,base.state_pe_04
l10n_pe.district_pe_040504,base.pe,base.state_pe_04
l10n_pe.district_pe_040505,base.pe,base.state_pe_04
l10n_pe.district_pe_040506,base.pe,base.state_pe_04
l10n_pe.district_pe_040507,base.pe,base.state_pe_04
l10n_pe.district_pe_040508,base.pe,base.state_pe_04
l10n_pe.district_pe_040509,base.pe,base.state_pe_04
l10n_pe.district_pe_040510,base.pe,base.state_pe_04
l10n_pe.district_pe_040511,base.pe,base.state_pe_04
l10n_pe.district_pe_040512,base.pe,base.state_pe_04
l10n_pe.district_pe_040513,base.pe,base.state_pe_04
l10n_pe.district_pe_040514,base.pe,base.state_pe_04
l10n_pe.district_pe_040515,base.pe,base.state_pe_04
l10n_pe.district_pe_040516,base.pe,base.state_pe_04
l10n_pe.district_pe_040517,base.pe,base.state_pe_04
l10n_pe.district_pe_040518,base.pe,base.state_pe_04
l10n_pe.district_pe_040519,base.pe,base.state_pe_04
l10n_pe.district_pe_040520,base.pe,base.state_pe_04
l10n_pe.district_pe_040601,base.pe,base.state_pe_04
l10n_pe.district_pe_040602,base.pe,base.state_pe_04
l10n_pe.district_pe_040603,base.pe,base.state_pe_04
l10n_pe.district_pe_040604,base.pe,base.state_pe_04
l10n_pe.district_pe_040605,base.pe,base.state_pe_04
l10n_pe.district_pe_040606,base.pe,base.state_pe_04
l10n_pe.district_pe_040607,base.pe,base.state_pe_04
l10n_pe.district_pe_040608,base.pe,base.state_pe_04
l10n_pe.district_pe_040701,base.pe,base.state_pe_04
l10n_pe.district_pe_040702,base.pe,base.state_pe_04
l10n_pe.district_pe_040703,base.pe,base.state_pe_04
l10n_pe.district_pe_040704,base.pe,base.state_pe_04
l10n_pe.district_pe_040705,base.pe,base.state_pe_04
l10n_pe.district_pe_040706,base.pe,base.state_pe_04
l10n_pe.district_pe_040801,base.pe,base.state_pe_04
l10n_pe.district_pe_040802,base.pe,base.state_pe_04
l10n_pe.district_pe_040803,base.pe,base.state_pe_04
l10n_pe.district_pe_040804,base.pe,base.state_pe_04
l10n_pe.district_pe_040805,base.pe,base.state_pe_04
l10n_pe.district_pe_040806,base.pe,base.state_pe_04
l10n_pe.district_pe_040807,base.pe,base.state_pe_04
l10n_pe.district_pe_040808,base.pe,base.state_pe_04
l10n_pe.district_pe_040809,base.pe,base.state_pe_04
l10n_pe.district_pe_040810,base.pe,base.state_pe_04
l10n_pe.district_pe_040811,base.pe,base.state_pe_04
l10n_pe.district_pe_050101,base.pe,base.state_pe_05
l10n_pe.district_pe_050102,base.pe,base.state_pe_05
l10n_pe.district_pe_050103,base.pe,base.state_pe_05
l10n_pe.district_pe_050104,base.pe,base.state_pe_05
l10n_pe.district_pe_050105,base.pe,base.state_pe_05
l10n_pe.district_pe_050106,base.pe,base.state_pe_05
l10n_pe.district_pe_050107,base.pe,base.state_pe_05
l10n_pe.district_pe_050108,base.pe,base.state_pe_05
l10n_pe.district_pe_050109,base.pe,base.state_pe_05
l10n_pe.district_pe_050110,base.pe,base.state_pe_05
l10n_pe.district_pe_050111,base.pe,base.state_pe_05
l10n_pe.district_pe_050112,base.pe,base.state_pe_05
l10n_pe.district_pe_050113,base.pe,base.state_pe_05
l10n_pe.district_pe_050114,base.pe,base.state_pe_05
l10n_pe.district_pe_050115,base.pe,base.state_pe_05
l10n_pe.district_pe_050116,base.pe,base.state_pe_05
l10n_pe.district_pe_050201,base.pe,base.state_pe_05
l10n_pe.district_pe_050202,base.pe,base.state_pe_05
l10n_pe.district_pe_050203,base.pe,base.state_pe_05
l10n_pe.district_pe_050204,base.pe,base.state_pe_05
l10n_pe.district_pe_050205,base.pe,base.state_pe_05
l10n_pe.district_pe_050206,base.pe,base.state_pe_05
l10n_pe.district_pe_050301,base.pe,base.state_pe_05
l10n_pe.district_pe_050302,base.pe,base.state_pe_05
l10n_pe.district_pe_050303,base.pe,base.state_pe_05
l10n_pe.district_pe_050304,base.pe,base.state_pe_05
l10n_pe.district_pe_050401,base.pe,base.state_pe_05
